trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,0,demo,1,0,45,90
1,0,0,seq,1,1,45,90
2,0,0,catch,0,0,45,90
3,0,0,catch,2,0,45,90
4,0,0,seq,0,0,45,90
5,0,0,seq,2,0,45,90
6,1,1,demo,2,0,45,135
7,1,1,catch,0,0,45,135
8,1,1,seq,1,1,45,135
9,1,1,seq,1,0,45,135
10,1,1,seq,2,0,45,135
11,1,1,catch,0,0,45,135
12,2,1,demo,0,0,45,135
13,2,1,seq,1,1,45,135
14,2,1,seq,2,0,45,135
15,2,1,catch,0,0,45,135
16,2,1,seq,2,0,45,135
17,2,1,catch,1,0,45,135
18,3,0,demo,2,0,90,0
19,3,0,seq,2,0,90,0
20,3,0,seq,0,0,90,0
21,3,0,seq,1,0,90,0
22,3,0,catch,0,0,90,0
23,3,0,catch,1,0,90,0
24,3,0,rest,0,0,90,0
25,4,0,demo,1,0,0,135
26,4,0,catch,0,0,0,135
27,4,0,catch,0,0,0,135
28,4,0,seq,2,0,0,135
29,4,0,seq,1,1,0,135
30,4,0,seq,2,0,0,135
31,5,2,demo,2,0,90,135
32,5,2,seq,2,0,90,135
33,5,2,seq,0,0,90,135
34,5,2,seq,0,0,90,135
35,5,2,catch,1,0,90,135
36,5,2,catch,1,0,90,135
37,6,2,demo,2,0,0,90
38,6,2,catch,1,0,0,90
39,6,2,seq,0,1,0,90
40,6,2,seq,2,0,0,90
41,6,2,catch,1,0,0,90
42,6,2,seq,0,0,0,90
43,6,2,rest,0,0,0,90
44,7,1,demo,1,0,45,135
45,7,1,catch,0,0,45,135
46,7,1,seq,2,0,45,135
47,7,1,seq,1,0,45,135
48,7,1,catch,2,0,45,135
49,7,1,seq,0,0,45,135
50,8,1,demo,2,0,135,0
51,8,1,catch,0,0,135,0
52,8,1,catch,1,0,135,0
53,8,1,seq,1,1,135,0
54,8,1,seq,2,0,135,0
55,8,1,seq,0,0,135,0
56,9,2,demo,2,0,135,45
57,9,2,catch,1,0,135,45
58,9,2,seq,2,0,135,45
59,9,2,catch,0,0,135,45
60,9,2,seq,0,0,135,45
61,9,2,seq,1,0,135,45
62,9,2,rest,0,0,135,45
63,10,2,demo,1,0,0,45
64,10,2,seq,1,1,0,45
65,10,2,seq,2,1,0,45
66,10,2,catch,0,0,0,45
67,10,2,catch,2,0,0,45
68,10,2,seq,0,1,0,45
69,11,0,demo,1,0,45,90
70,11,0,catch,0,0,45,90
71,11,0,seq,0,0,45,90
72,11,0,seq,1,0,45,90
73,11,0,seq,2,0,45,90
74,11,0,catch,2,0,45,90
