trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,0,demo,1,0,45,0
1,0,0,seq,2,0,45,0
2,0,0,seq,2,1,45,0
3,0,0,seq,1,1,45,0
4,0,0,catch,0,0,45,0
5,0,0,catch,0,0,45,0
6,1,1,demo,0,0,90,0
7,1,1,seq,1,0,90,0
8,1,1,catch,2,0,90,0
9,1,1,catch,0,0,90,0
10,1,1,seq,1,0,90,0
11,1,1,seq,2,0,90,0
12,2,0,demo,0,0,135,90
13,2,0,catch,1,0,135,90
14,2,0,catch,2,0,135,90
15,2,0,seq,1,0,135,90
16,2,0,seq,2,1,135,90
17,2,0,seq,0,0,135,90
18,3,0,demo,0,0,135,45
19,3,0,catch,0,0,135,45
20,3,0,seq,1,0,135,45
21,3,0,seq,2,0,135,45
22,3,0,seq,1,0,135,45
23,3,0,catch,2,0,135,45
24,3,0,rest,0,0,135,45
25,4,1,demo,1,0,135,90
26,4,1,seq,0,0,135,90
27,4,1,catch,2,0,135,90
28,4,1,catch,1,0,135,90
29,4,1,seq,0,0,135,90
30,4,1,seq,2,0,135,90
31,5,1,demo,0,0,45,0
32,5,1,catch,0,0,45,0
33,5,1,seq,1,0,45,0
34,5,1,seq,1,0,45,0
35,5,1,seq,2,0,45,0
36,5,1,catch,2,0,45,0
37,6,2,demo,1,0,90,45
38,6,2,catch,1,0,90,45
39,6,2,seq,2,0,90,45
40,6,2,seq,0,1,90,45
41,6,2,catch,0,0,90,45
42,6,2,seq,2,0,90,45
43,6,2,rest,0,0,90,45
44,7,2,demo,0,0,45,90
45,7,2,seq,0,1,45,90
46,7,2,catch,1,0,45,90
47,7,2,seq,2,0,45,90
48,7,2,seq,1,0,45,90
49,7,2,catch,2,0,45,90
50,8,0,demo,2,0,90,0
51,8,0,seq,0,0,90,0
52,8,0,seq,2,0,90,0
53,8,0,catch,1,0,90,0
54,8,0,seq,1,0,90,0
55,8,0,catch,0,0,90,0
56,9,2,demo,2,0,90,135
57,9,2,catch,1,0,90,135
58,9,2,catch,1,0,90,135
59,9,2,seq,0,1,90,135
60,9,2,seq,2,0,90,135
61,9,2,seq,0,0,90,135
62,9,2,rest,0,0,90,135
63,10,1,demo,1,0,0,45
64,10,1,seq,2,0,0,45
65,10,1,seq,0,1,0,45
66,10,1,catch,1,0,0,45
67,10,1,seq,0,1,0,45
68,10,1,catch,2,0,0,45
69,11,2,demo,2,0,135,0
70,11,2,seq,0,1,135,0
71,11,2,seq,2,0,135,0
72,11,2,catch,0,0,135,0
73,11,2,catch,1,0,135,0
74,11,2,seq,1,0,135,0
