trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,2,demo,1,0,90,0
1,0,2,seq,0,0,90,0
2,0,2,seq,1,0,90,0
3,0,2,catch,2,0,90,0
4,0,2,catch,0,0,90,0
5,0,2,seq,2,0,90,0
6,1,0,demo,2,0,45,135
7,1,0,catch,1,0,45,135
8,1,0,seq,2,0,45,135
9,1,0,seq,1,0,45,135
10,1,0,seq,0,0,45,135
11,1,0,catch,0,0,45,135
12,2,0,demo,2,0,45,90
13,2,0,catch,0,0,45,90
14,2,0,seq,2,0,45,90
15,2,0,seq,0,1,45,90
16,2,0,seq,1,0,45,90
17,2,0,catch,1,0,45,90
18,3,1,demo,1,0,45,0
19,3,1,catch,2,0,45,0
20,3,1,seq,1,0,45,0
21,3,1,seq,0,0,45,0
22,3,1,catch,2,0,45,0
23,3,1,seq,0,0,45,0
24,3,1,rest,0,0,45,0
25,4,2,demo,0,0,45,135
26,4,2,catch,2,0,45,135
27,4,2,catch,1,0,45,135
28,4,2,seq,2,0,45,135
29,4,2,seq,1,0,45,135
30,4,2,seq,0,1,45,135
31,5,2,demo,2,0,0,45
32,5,2,seq,0,0,0,45
33,5,2,seq,0,1,0,45
34,5,2,catch,1,0,0,45
35,5,2,seq,1,1,0,45
36,5,2,catch,2,0,0,45
37,6,1,demo,1,0,0,135
38,6,1,catch,1,0,0,135
39,6,1,seq,0,0,0,135
40,6,1,catch,2,0,0,135
41,6,1,seq,2,0,0,135
42,6,1,seq,0,1,0,135
43,6,1,rest,0,0,0,135
44,7,0,demo,0,0,90,45
45,7,0,seq,2,0,90,45
46,7,0,catch,2,0,90,45
47,7,0,catch,1,0,90,45
48,7,0,seq,0,0,90,45
49,7,0,seq,1,1,90,45
50,8,1,demo,2,0,90,0
51,8,1,seq,0,0,90,0
52,8,1,seq,2,0,90,0
53,8,1,seq,0,0,90,0
54,8,1,catch,1,0,90,0
55,8,1,catch,1,0,90,0
56,9,1,demo,0,0,90,135
57,9,1,seq,0,0,90,135
58,9,1,seq,1,0,90,135
59,9,1,seq,2,0,90,135
60,9,1,catch,2,0,90,135
61,9,1,catch,1,0,90,135
62,9,1,rest,0,0,90,135
63,10,0,demo,2,0,45,90
64,10,0,catch,0,0,45,90
65,10,0,seq,1,0,45,90
66,10,0,seq,1,0,45,90
67,10,0,catch,2,0,45,90
68,10,0,seq,0,1,45,90
69,11,2,demo,0,0,45,0
70,11,2,seq,1,0,45,0
71,11,2,catch,2,0,45,0
72,11,2,seq,1,1,45,0
73,11,2,catch,2,0,45,0
74,11,2,seq,0,1,45,0
