trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,0,demo,2,0,90,45
1,0,0,seq,1,1,90,45
2,0,0,seq,1,0,90,45
3,0,0,catch,2,0,90,45
4,0,0,catch,0,0,90,45
5,0,0,seq,0,0,90,45
6,1,2,demo,0,0,135,45
7,1,2,catch,2,0,135,45
8,1,2,catch,0,0,135,45
9,1,2,seq,1,0,135,45
10,1,2,seq,1,0,135,45
11,1,2,seq,2,1,135,45
12,2,1,demo,0,0,90,45
13,2,1,seq,0,0,90,45
14,2,1,seq,2,0,90,45
15,2,1,catch,1,0,90,45
16,2,1,seq,1,1,90,45
17,2,1,catch,2,0,90,45
18,2,1,rest,0,0,90,45
19,3,1,demo,1,0,90,0
20,3,1,seq,0,1,90,0
21,3,1,seq,0,1,90,0
22,3,1,catch,2,0,90,0
23,3,1,seq,2,0,90,0
24,3,1,catch,1,0,90,0
25,4,0,demo,2,0,135,45
26,4,0,seq,0,0,135,45
27,4,0,seq,1,0,135,45
28,4,0,seq,0,0,135,45
29,4,0,catch,1,0,135,45
30,4,0,catch,2,0,135,45
31,5,2,demo,1,0,45,0
32,5,2,catch,0,0,45,0
33,5,2,seq,0,0,45,0
34,5,2,seq,2,1,45,0
35,5,2,seq,1,0,45,0
36,5,2,catch,2,0,45,0
37,5,2,rest,0,0,45,0
38,6,1,demo,2,0,135,90
39,6,1,seq,1,0,135,90
40,6,1,catch,0,0,135,90
41,6,1,seq,0,0,135,90
42,6,1,catch,2,0,135,90
43,6,1,seq,1,0,135,90
44,7,0,demo,2,0,0,90
45,7,0,catch,0,0,0,90
46,7,0,catch,1,0,0,90
47,7,0,seq,2,1,0,90
48,7,0,seq,0,0,0,90
49,7,0,seq,1,0,0,90
50,8,2,demo,0,0,45,135
51,8,2,seq,1,1,45,135
52,8,2,catch,0,0,45,135
53,8,2,seq,2,1,45,135
54,8,2,catch,2,0,45,135
55,8,2,seq,1,0,45,135
56,8,2,rest,0,0,45,135
