trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,0,demo,2,0,0,135
1,0,0,catch,0,0,0,135
2,0,0,seq,1,0,0,135
3,0,0,seq,0,0,0,135
4,0,0,seq,1,1,0,135
5,0,0,catch,2,0,0,135
6,1,2,demo,0,0,0,135
7,1,2,catch,2,0,0,135
8,1,2,catch,2,0,0,135
9,1,2,seq,1,0,0,135
10,1,2,seq,1,0,0,135
11,1,2,seq,0,1,0,135
12,2,1,demo,2,0,0,90
13,2,1,catch,2,0,0,90
14,2,1,seq,0,1,0,90
15,2,1,catch,1,0,0,90
16,2,1,seq,0,0,0,90
17,2,1,seq,1,1,0,90
18,3,0,demo,2,0,45,90
19,3,0,seq,1,0,45,90
20,3,0,seq,2,0,45,90
21,3,0,catch,0,0,45,90
22,3,0,catch,1,0,45,90
23,3,0,seq,0,0,45,90
24,3,0,rest,0,0,45,90
25,4,0,demo,0,0,90,0
26,4,0,catch,1,0,90,0
27,4,0,seq,2,1,90,0
28,4,0,seq,1,0,90,0
29,4,0,seq,0,0,90,0
30,4,0,catch,2,0,90,0
31,5,1,demo,2,0,0,90
32,5,1,seq,0,0,0,90
33,5,1,catch,2,0,0,90
34,5,1,seq,0,0,0,90
35,5,1,seq,1,0,0,90
36,5,1,catch,1,0,0,90
37,6,1,demo,2,0,90,45
38,6,1,catch,1,0,90,45
39,6,1,seq,0,1,90,45
40,6,1,seq,0,0,90,45
41,6,1,catch,2,0,90,45
42,6,1,seq,1,0,90,45
43,6,1,rest,0,0,90,45
44,7,2,demo,0,0,45,90
45,7,2,seq,1,0,45,90
46,7,2,catch,2,0,45,90
47,7,2,seq,2,0,45,90
48,7,2,catch,1,0,45,90
49,7,2,seq,0,0,45,90
50,8,2,demo,2,0,90,45
51,8,2,seq,0,1,90,45
52,8,2,catch,1,0,90,45
53,8,2,catch,1,0,90,45
54,8,2,seq,0,1,90,45
55,8,2,seq,2,0,90,45
56,9,0,demo,0,0,135,90
57,9,0,seq,0,0,135,90
58,9,0,catch,1,0,135,90
59,9,0,seq,2,0,135,90
60,9,0,catch,2,0,135,90
61,9,0,seq,1,0,135,90
62,9,0,rest,0,0,135,90
63,10,2,demo,1,0,45,135
64,10,2,catch,0,0,45,135
65,10,2,seq,2,0,45,135
66,10,2,seq,1,0,45,135
67,10,2,seq,2,0,45,135
68,10,2,catch,0,0,45,135
69,11,1,demo,1,0,45,90
70,11,1,seq,0,1,45,90
71,11,1,seq,2,0,45,90
72,11,1,catch,1,0,45,90
73,11,1,seq,0,0,45,90
74,11,1,catch,2,0,45,90
